VARIABLE,svar,lp_corrbias,lp_lagaug,lp_gls,varlp_avg
cat1,-0.363534233990923,0.734677095035973,0.587023652093,-0.5724965068608,0.739326726906586
cat2,1.06652782986147,0.328163631147789,0.643245658592256,-8.0136754063896,1.14960899018647
cat3,-0.444857486305204,-1.07185540365174,-0.881439527042565,2.85126916963618,-1.27687897111365
cat4,0,0,0,0,0
cat5,-2.19709709594443,-0.985732542714346,-0.909132725599998,13.0188379652073,-2.91029298552433
cat6,0,0,0,0,0
cat7,0,0,0,0,0
cat8,0.68506830095504,0.240052339491632,-0.233479276123849,-10.5777578922995,0.91934440270045
cat9,-0.608049396544916,0.711363915112789,0.526110144669699,3.07206242837425,0.562306114397854
cat10,0,0,0,0,0
h0,-1.38185158804987,-1.31436181557295,-1.61205742103347,-0.513519498016811,-1.20792209820836
h1,-0.656875662883667,-0.642782729360229,-1.29423695798586,-0.855116104278516,-0.50609509499232
h2,-0.389499349119512,-0.746285199727499,-0.676051828054574,0.146420196961086,-0.353120973815116
h3,-0.624707945439349,-0.706945382217805,-0.865921345821232,-0.907716695568188,-0.362455325631453
h4,-0.991725475196399,-0.564569552144726,-1.71792296724563,-0.179761079674085,-0.50175871216562
h5,-0.1361714480639,-0.592479859099301,-0.583241829458937,-0.584070939033135,-0.31446254549872
h6,0.13760992165693,-0.454339677385483,-0.546772654239385,-1.59776676077293,0.283738092269729
h7,0.312566160521593,0.472214716106174,0.470920485462188,0.314332480623928,0.673164847750206
h8,-0.0317806606229797,0.225226977058566,0.21837608750511,0.352105756141964,0.278998435003937
h9,-0.151713914036962,0.181111926080888,0.19715789465796,0.303756075161152,0.231895096901705
h10,0.0141809916508923,0.633523176302515,0.651135429726793,0.0664717942891023,0.47137352757955
h11,0.0977554714948594,0.3583536845167,0.522257615838839,-0.0651372787697284,-0.0571566950113221
h12,0.157450398733128,0.137493716954357,0.450748073340356,0.107584263186064,0.0316618008126536
h13,0.147079941409186,0.656445931673824,0.693652905431481,-1.27936143073821,0.442944030847395
h14,0.116593462419034,0.875085493082374,0.843966318849683,-0.580418346578734,0.398363329388995
h15,0.0889701254801049,0.697182957961517,0.608606505994468,-0.198707926635574,0.286581943066639
h16,0.0696029493533198,0.542280395495164,0.407727898276444,0.101412648616097,0.159379222359913
h17,0.0531688086190178,0.409193998386636,0.376384346478297,-0.0249296274647052,0.205970511989275
h18,0.028998629850095,0.460022316654445,0.0794693215592703,-0.784785015728447,0.148546808542565
h19,0,0,0,0,0
h20,-0.0331652224323183,0.181705981303527,0.141356577306955,-0.144749585627035,-0.163820107366652
